ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo
17193,Área Infantil,94,vaLdEzArzA,9.0,MOnCLOA - aRAVacA,OPERATIVO,439656.44,4479303.981,ETRS89,40.46221628,-3.71175196,CALLE,AZUAGA,2,28039.0,"AVENIDA SANTO ANGEL DE LA GUARDA , ASCENDIEN",11055281.0,2005-02-08 00:00:00,9055,AE21,12,infantil
17195,Área Infantil,94,vAldéZárZá,9.0,MONcLOa - ArAvacA,OPERATIVO,439166.367,4479417.883,ETRS89,40.46320662,-3.71754286,CALLE,OCHAGAVIA,2,28039.0,"CALLE ARTAJONA , ASCENDIENTE 1: 094 · VALDEZA",31044266.0,01-19-2006,9058,AE21,9,infantil
17197,Área Infantil,94,vAldEZARZa,9.0,MoNclOA - ARAVacA,OPERATIVO,438898.521,4479510.412,ETRS89,40.4640205,-3.72071082,CALLE,ANTONIO MACHADO,15,28035.0,"CALLE ISLA DE OZA 61 , ASCENDIENTE 1: 094 · V",11054967.0,2007-02-15 00:00:00,9060,AE21,8,infantil
17199,Área Infantil,94,VAlDezarZA,9.0,moNCLoa - arAVAca,OPERATIVO,439093.256,4479640.594,ETRS89,40.46520753,-3.71842653,CALLE,ARTAJONA,47,28039.0,"CALLE ARTAJONA 47 POST. , ASCENDIENTE 1: 094",11054811.0,27/05/07,9062,AE21,9,infantil
17841,Área Infantil,144,mEdia LEguA,14.0,móRATálAz,OPERATIVO,444425.36,4473718.16,ETRS89,40.41222891,-3.65501768,CALLE,PRIMAVERA DE PRAGA,22,28030.0,"PRIMAVERA DE PRAGA, 000022",20141879.0,fecha_incorrecta,14025,AE21,19,infantil
17843,Área Infantil,144,MEdíá lEGúA,14.0,MOrATalaZ,OPERATIVO,444249.51,4473402.192,ETRS89,40.40937073,-3.65706248,CALLE,CORREGIDOR MENDO DE ZUÑIGA,11,28030.0,"CORREGIDOR MENDO DE ZÚÑIGA, 000011",31003224.0,01/01/2005,14027,AE21,13,infantil
17845,Área Infantil,143,marRoqUiNa,14.0,morATaLAZ,OPERATIVO,445066.611,4473457.148,ETRS89,40.40992013,-3.64743765,CALLE,MARROQUINA,55,28030.0,"MARROQUINA, 000055",11101490.0,fecha_incorrecta,14030,AE21,13,infantil
17846,Área Infantil,143,MArrOqUIna,14.0,mORaTALaz,OPERATIVO,445273.44,4473324.42,ETRS89,40.40873806,-3.64498872,AVENIDA,MORATALAZ,168,28030.0,"AVDA MORATALAZ, 000168",11103210.0,2003/01/01,14031,AE21,10,infantil
17848,Área Infantil,144,MeDIa LegUA,14.0,moraTAlAZ,OPERATIVO,444114.72,4474041.59,ETRS89,40.41512175,-3.65870715,CALLE,FELIX RODRIGUEZ DE LA FUENTE,65,28030.0,"FÉLIX RODRÍGUEZ DE LA FUENTE, 000065",11102086.0,fecha_incorrecta,14033,AE21,9,infantil
17850,Área Infantil,143,mARrOqUinA,14.0,MoraTaLAZ,OPERATIVO,445298.267,4473408.62,ETRS89,40.40949821,-3.64470337,CALLE,AUGUSTO GONZALEZ BESADA,24,28030.0,"AUGUSTO GONZÁLEZ BESADA, 000024",11101461.0,01-01-2006,14035,AE21,10,infantil
17852,Área Infantil,143,MArrOquiNA,14.0,MoRATALAZ,OPERATIVO,445811.73,4473407.43,ETRS89,40.40952108,-3.63865206,CALLE,JOSE BERGAMIN,6,28030.0,"JOSÉ BERGAMÍN, 000006",11101380.0,2006-01-01 00:00:00,14037,AE21,11,infantil
17854,Área Infantil,143,mARrOquiNA,14.0,morATaLaZ,OPERATIVO,445747.2,4473490.7,ETRS89,40.41026702,-3.63941965,CALLE,JOSE BERGAMIN,1,28030.0,"JOSÉ BERGAMÍN, 000001",20158243.0,01-01-2003,14039,AE21,13,infantil
17856,Área Infantil,143,mARROQUInA,14.0,MórátAláZ,OPERATIVO,445801.794,4473301.579,ETRS89,40.40856686,-3.63876014,CALLE,MOLINA DE SEGURA,2,28030.0,"MOLINA DE SEGURA, 000002",20158916.0,2006-01-01 00:00:00,14041,AE21,22,infantil
17858,Área Infantil,143,mArROquina,14.0,mORAtALAZ,OPERATIVO,445756.301,4473604.166,ETRS89,40.41128978,-3.63932207,CALLE,JOSE BERGAMIN,30,28030.0,"JOSÉ BERGAMÍN, 000030",11101389.0,2003/01/01,14045,AE21,14,infantil
17860,Área Infantil,142,hORCaJo,14.0,mORAtAlaz,OPERATIVO,446737.53,4473271.335,ETRS89,40.4083548,-3.62773,CALLE,RABAT,22,28030.0,"RABAT, 000022",20125206.0,fecha_incorrecta,14049,AE21,16,infantil
17862,Área Infantil,146,vinatErOS,14.0,MORaTalaz,OPERATIVO,445539.2,4473139.29,ETRS89,40.40708773,-3.64184091,CALLE,CAMINO DE LOS VINATEROS,143,28030.0,"CAMINO DE LOS VINATEROS, 000143",11103253.0,01/01/2006,14054,AE21,17,infantil
17864,Área Infantil,146,VInATErOS,14.0,moRAtAlaZ,OPERATIVO,445191.94,4473053.54,ETRS89,40.40629245,-3.64592586,CALLE,CAMINO DE LOS VINATEROS,134,28030.0,"CAMINO DE LOS VINATEROS, 000134",11103187.0,01/01/2006,14057,AE21,6,infantil
17201,Área Infantil,94,vAlDEzARzá,9.0,MoncLoA - aravAca,OPERATIVO,439114.989,4479770.307,ETRS89,40.46637762,-3.71818264,CALLE,VALDERREY,52,28039.0,"CALLE SINESIO DELGADO , ASCENDIENTE 1: 094 ·",31045356.0,06/10/2005,9064,AE21,23,infantil
17203,Área Infantil,94,vALdEzArzA,9.0,MoNclOA - arAVaca,OPERATIVO,438794.89,4479881.42,ETRS89,40.46735505,-3.72196887,CALLE,SAN GERARDO,15,28035.0,"CALLE SAN GERARDO 15 , ASCENDIENTE 1: 094 · V",20085865.0,2007-04-11 00:00:00,9066,AE21,12,infantil
17209,Área Infantil,94,vALdeZaRzA,9.0,MONcloA - ARAvAca,OPERATIVO,439336.44,4479588.39,ETRS89,40.46475504,-3.71555327,CALLE,SAN RESTITUTO,68,28039.0,"CALLE SAN RESTITUTO 68 , ASCENDIENTE 1: 094 ·",11054653.0,fecha_incorrecta,9072,AE21,7,infantil
17211,Área Infantil,93,ciUDAd UNIVerSItarIA,9.0,moncloa - aRAvAcA,OPERATIVO,439434.165,4478732.903,ETRS89,40.45705562,-3.71431901,AVENIDA,DOCTOR FEDERICO RUBIO Y GALI,79,28040.0,"CALLE DOCTOR FEDERICO RUBIO Y GALI 79 , ASCEN",11053481.0,22/05/2006,9076,AE21,7,infantil
17212,Área Infantil,93,CiUDAD uNIVeRsiTAria,9.0,MónClOá - ARAváCA,OPERATIVO,439553.46,4478687.63,ETRS89,40.45665647,-3.71290782,CALLE,MOGUER,1,28040.0,"CALLE MOGUER , ASCENDIENTE 1: 093 · CIUDAD UN",11053476.0,2006-01-16 00:00:00,9077,AE21,17,infantil
17216,Área Infantil,93,ciUdAD uNiveRSiTaria,9.0,MónClOá - árAváCA,OPERATIVO,439342.946,4478346.597,ETRS89,40.45356897,-3.71535786,CALLE,ARQUITECTO SANCHEZ ARCAS,7,28040.0,"CALLE ALMIRANTE FCO. MORENO , ASCENDIENTE 1:",11053072.0,fecha_incorrecta,9081,AE21,6,infantil
17218,Área Infantil,91,CASA de campo,9.0,mOncLoA - aRAvacA,OPERATIVO,437669.66,4475852.94,ETRS89,40.43098139,-3.73484555,CALLE,RIBERA DEL MANZANARES,151,28008.0,"CALLE RIBERA DEL MANZANARES , ASCENDIENTE 1:",11051941.0,11/04/07,9083,AE21,15,infantil
17220,Área Infantil,91,caSA dE caMpO,9.0,mOnClóá - áRávACá,OPERATIVO,438107.11,4475373.06,ETRS89,40.4266911,-3.72964189,CALLE,RIBERA DEL MANZANARES,99,28008.0,"CALLE RIBERA DEL MANZANARES 99 , ASCENDIENTE",11051641.0,2005/12/01,9085,AE21,12,infantil
